provider,title,description,url,thumbnailUrl,author,price,level,category,score,skills,lectureUpdatedAt,duration,details
udemy,아이폰 앱 개발 강의 - 왕초보 입문편,억대 연봉 프리랜서의 아이폰 앱 개발 강의 1편,https://www.udemy.com/course/happysmile-swift4/,https://img-c.udemycdn.com/course/240x135/1562416_f6bc_3.jpg,해피스마일 최완택,32000,초급자,모바일 개발,4.7,iOS 개발,2018/02,2:25,"맥 기본 사용팁, 프로그래밍 개념, 프로그래밍에 필요한 컴퓨터 과학 기초 지식, 기초적인 Xcode9 개발 도구 사용법, 이미지, 레이블, 텍스트뷰 기본 컨트롤을 사용하여 기초적인 앱을 만드는 방법, 우리가 만든 앱을 아이폰에 설치하고 실행하는 방법 (무료)"
udemy,Do it! 코틀린 프로그래밍 (Kotlin Programming),기초부터 안드로이드까지 - 2020 Update!,https://www.udemy.com/course/kotlin-programming-with-android/,https://img-c.udemycdn.com/course/240x135/1532468_ca30_2.jpg,황영덕 (Sean) Youngdeok Hwang,88000,모든 수준,프로그래밍 언어,4.8,Kotlin,2020/06,33:11,"코틀린 기본 문법과 프로그래밍 기법 (변수, 함수, 제어, 배열과 문자열 등), 코틀린을 활용한 객체지향 프로그래밍 기법 (데이터 클래스, 인터페이스 등), 코틀린의 추가된 기법과 활용 (람다, 코루틴, 널처리 등), 안드로이드에서 코틀린 확장 사용법 (kotlin-extension 등), 간단한 프로젝트를 통한 코틀린 프로그래밍의 이해"
udemy,Keras 를 활용한 Deep Learning 입문,Deep Learning 을 가장 쉽고 빠르게 배워보자!,https://www.udemy.com/course/keras-deep-learning/,https://img-c.udemycdn.com/course/240x135/1502702_7fe1.jpg,Dae Bang Kim,99000,모든 수준,프로그래밍 언어,4.9,Keras,2019/03,9:16,"딥러닝 알고리즘의 직관적인 이해, 다양한 데이터를 활용하여 딥러닝 모델을 설계 하는 방법"
udemy,엔트리 기초부터 활용까지 정글코딩! ( Entry block programming in Jungle ),코딩으로 놀자! 정글코딩과 함께 하는 엔트리 학습,https://www.udemy.com/course/playentry/,https://img-c.udemycdn.com/course/240x135/1011090_d171_8.jpg,Woojin Han,23000,모든 수준,프로그래밍 언어,4.9,프로그래밍 기초,2018/02,5:20,"엔트리를 활용하여 게임, 애니메이션 등 생각한 것을 개발 할 수 있습니다."
udemy,unity 3D(유니티 3D) 실전프로젝트 장르별 게임 개발 - defense game(디펜스 게임),유니티 Defense 게임을 장면 제작 부터 서비스 할수 있는 단계까지 개발하는 실무 강의(강사 고현철),https://www.udemy.com/course/softcampus-unitydefense/,https://img-c.udemycdn.com/course/240x135/1532290_f8b1.jpg,Softcampus Academy,23000,모든 수준,게임 개발,4.0,Unity,2020/02,9:04,"Unity 를 기반으로 디펜스 게임의 간단한 특징을 보고 직접 만들어 가는 과정입니다., 강의될 디펜스 게임은 다중 스테이지로 운영되고 플레이 후 업그레이드나  패배시 게임오버가 있으며 각 장면들이 유기적으로 결합되어 있습니다., 각 강의를 통해 다양한 객체의 제어와 게임내 룰을 직접 프로그래밍 로직으로  작성할것이며 학습후에 주어진 예제를 기반으로 본인만의 게임개발이 가능합니다., 앞으로 만들어질 장르별 게임개발을 학습할때도 도움이 됩니다."
udemy,DIY WordPress Theme - 내 손으로 직접 만들어보는 워드프레스 테마 코딩,나만의 워드프레스 테마를 한줄 한줄 코딩하여 스스로 웹사이트를 만들어봅니다! 아울러 부트스트랩4(Bootstrap4)에 대해서도 같이 배우게 됩니다.,https://www.udemy.com/course/diy-wordpress-theme/,https://img-c.udemycdn.com/course/240x135/1402676_98b6_3.jpg,Hwang Tae-hyun,69000,모든 수준,웹 개발,4.7,WordPress,2019/04,11:14,"워드프레스에 대한 전반적인 구조와 기능, 문법을 이해할 수 있습니다., 부트스트랩의 프레임워크를 이해하고 이를 워드프레스에 접목시킬 수 있습니다., 이를 통해 나만의 워드프레스 테마를 코딩하고 원하는 웹사이트를 구축할 수 있습니다., 또한 좀 더 복잡한, 좀 더 다양한 기능을 가진 웹사이트를 만들 수 있는 방법론을 습득하게 됩니다., 결국, 다이내믹한 워드프레스의 관리자 페이지에서 포스트, 페이지를 생성하고 관리할 수 있습니다., 그것도 업체에 유지보수 비용을 지불하지 않고도 말입니다!!!"
udemy,부트스트랩 4와 함께하는 웹 디자인 마스터 코스 (Bootstrap 4 Web Design Tutorial),"HTML, 자바스크립트, CSS의 기초부터 부트스트랩 4 프레임워크까지 차근차근 배우는 가성비 최고의 웹 디자인 강좌입니다.",https://www.udemy.com/course/bootstrap-4-web-design-tutorial/,https://img-c.udemycdn.com/course/240x135/1498304_4635_2.jpg,동빈 나,79000,초급자,웹 개발,4.7,부트스트랩,2018/03,8:59,"HTML, 자바스크립트, CSS의 기본, jQuery 라이브러리 기본, 부트스트랩 4 기본 및 활용, 다양한 웹 디자인 템플릿 제작"
udemy,자바 입문하기 (JAVA),처음 입문자를 위한 자바 입문하기(JAVA),https://www.udemy.com/course/firejava/,https://img-c.udemycdn.com/course/240x135/1483982_506d_3.jpg,활활 코딩,59000,초급자,프로그래밍 언어,3.9,Java,2018/01,9:38,"자바를 이용한 프로그램 개발, 프로그래밍의 원리에 대한 이해, 튼튼한 기초 지식, 생각하는 힘의 향상"
udemy,핵심만 쉽게 iOS11 and Swift4,조금만 배워서 최대한 활용하자가 목표입니다. 전체의 흐름만 잡으면 아이폰 개발 정말 재미 있고 쉽습니다.,https://www.udemy.com/course/ios11-and-swift4/,https://img-c.udemycdn.com/course/240x135/1453844_e033_5.jpg,Jin Young Choi,32000,초급자,모바일 개발,4.3,iOS 개발,2017/12,14:30,"iPhone App(iOS11)을 만드는 방법과 Swift4 언어에 대해서 배우게 될것입니다., 자그마한 앱들을 10여개 정도 만들면서 전반적인 Component 사용방법을 익히게 될것입니다, iPhone App을 만드는 Framework의 전반적인 흐름을 이해 할수 있습니다., 모든 라이브러리를 다 다루지는 않지만 많이 사용하는거 위주로 최소한만 배워서 최대한 활용 할 겁니다."
udemy,처음 시작하는 C Programming,소프트웨어 개발 기반언어 C언어 입문 과정,https://www.udemy.com/course/softcampus-cp/,https://img-c.udemycdn.com/course/240x135/1447868_cdd2_7.jpg,Softcampus Academy,23000,모든 수준,프로그래밍 언어,3.6,C,2018/02,5:37,"본 과정에서는 C언어의 기본과 포인터, 그리고 표준 라이브러리에 대해 학습하게 됩니다, 본 과정을 마치면 C++, C#등 발전된 C언어를 학습하실 수 있으며 Java, Python과 같은 C 언어에 영감을 받은 모든 프로그래밍언어를 학습하는데 도움이 될 수 있습니다., 게임 개발에 관심이 있다면 반드시 공부를 하셔야 하며 이후 Unity 등과 같은 과정을 학습하실 수 있습니다."
